Hashtag,Tweets,Positivo,Negativo,Neutro
LulaLivre,289,34,16,233
LulaLadrao,45,2,6,35
Bolsonaro2018,186,12,25,149
GleisiTerrorista,0,0,0,0
LulaLivre,289,34,16,233
Ciro,2,0,0,2
eleicoes2018,27,5,1,21
marina,5,3,0,2
ciro,2,0,0,2
alckimin,0,0,0,0
rodaviva,49,4,7,38
BolsonaroRodaViva,50,9,1,40
